selected_category,function,total_score,base_score,signature_score,doc_score,probe_status,signature,module,hit_keywords,next_action,doc_head,probe_error
BDI_FREIGHT,macro_shipping_bdi,368,220,68,80,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,bdi|macro|shipping|干散货|指数|波罗的海,"v027.2 sample-call gate only; max 1-row, no DB write",波罗的海干散货指数(BDI) https://data.eastmoney.com/cjsj/hyzs_list_EMI00107664.html :return: 波罗的海干散货指数 :rtype: pandas.DataFrame,
BDI_FREIGHT,macro_china_freight_index,344,160,104,80,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,china|freight|index|macro|中国|宏观|指数|经济,"v027.2 sample-call gate only; max 1-row, no DB write",新浪财经-中国宏观经济数据-航贸运价指数 https://finance.sina.com.cn/mac/#industry-22-0-31-2 :return: 航贸运价指数 :rtype: pandas.DataFrame,
BDI_FREIGHT,macro_shipping_bci,188,120,48,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,macro|shipping|指数,"v027.2 sample-call gate only; max 1-row, no DB write",海岬型运费指数(BCI) https://data.eastmoney.com/cjsj/hyzs_list_EMI00107666.html :return: 海岬型运费指数 :rtype: pandas.DataFrame,
BDI_FREIGHT,macro_shipping_bcti,188,120,48,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,macro|shipping|指数,"v027.2 sample-call gate only; max 1-row, no DB write",成品油运输指数（BCTI） https://data.eastmoney.com/cjsj/hyzs_list_EMI00107669.html :return: 成品油运输指数 :rtype: pandas.DataFrame,
BDI_FREIGHT,macro_shipping_bpi,188,120,48,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,macro|shipping|指数,"v027.2 sample-call gate only; max 1-row, no DB write",巴拿马型运费指数(BPI) https://data.eastmoney.com/cjsj/hyzs_list_EMI00107665.html :return: 巴拿马型运费指数 :rtype: pandas.DataFrame,
IRON_ORE,futures_foreign_commodity_realtime,332,200,76,56,OK_SIGNATURE_DOC,"(symbol: Union[str, List[str]]) -> pandas.DataFrame",akshare.futures.futures_hq_sina,commodity|futures|ore|symbol|期货,"v027.2 sample-call gate only; max 1-row, no DB write",新浪-外盘期货-行情数据 https://finance.sina.com.cn/money/future/hf.html :param symbol: 通过调用 ak.futures_hq_subscribe_exchange_symbol() 函数来获取 :type symbol: list or str :return: 行情数据 :rtype: pandas.DataFrame,
IRON_ORE,futures_foreign_hist,318,150,72,96,OK_SIGNATURE_DOC,(symbol: str = 'ZSD') -> pandas.DataFrame,akshare.futures.futures_foreign,commodity|futures|hist|ore|symbol|期货,"v027.2 sample-call gate only; max 1-row, no DB write","外盘期货-历史行情数据-日频率 https://finance.sina.com.cn/money/future/hf.html :param symbol: 外盘期货代码, 可以通过 ak.futures_foreign_commodity_subscribe_exchange_symbol() 来获取所有品种代码 :type symbol: str :return: 历史行情数据-日频率 :rtype: pandas.DataFrame",
IRON_ORE,futures_foreign_commodity_subscribe_exchange_symbol,276,200,76,0,OK_SIGNATURE_DOC,() -> list,akshare.futures.futures_hq_sina,commodity|futures|ore|symbol,"v027.2 sample-call gate only; max 1-row, no DB write",需要订阅的行情的代码 https://finance.sina.com.cn/money/future/hf.html :return: 需要订阅的行情的代码 :rtype: list,
IRON_ORE,futures_foreign_detail,262,150,56,56,OK_SIGNATURE_DOC,(symbol: str = 'ZSD') -> pandas.DataFrame,akshare.futures.futures_foreign,futures|ore|symbol,"v027.2 sample-call gate only; max 1-row, no DB write","foreign futures contract detail data :param symbol: futures symbol, you can get it from hf_subscribe_exchange_symbol function :type symbol: str :return: contract detail :rtype: pandas.DataFrame",
IRON_ORE,macro_canada_core_cpi_monthly,228,120,48,60,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_canada,macro|monthly|ore|指数|经济,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-经济数据-加拿大-核心消费者物价指数月率 https://data.eastmoney.com/cjsj/foreign_7_6.html :return: 核心消费者物价指数月率 :rtype: pandas.DataFrame,
IRON_ORE,macro_uk_core_cpi_monthly,228,120,48,60,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_uk,macro|monthly|ore|指数|经济,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-经济数据-英国-核心消费者物价指数月率 https://data.eastmoney.com/cjsj/foreign_4_5.html :return: 核心消费者物价指数月率 :rtype: pandas.DataFrame,
IRON_ORE,macro_canada_core_cpi_yearly,220,120,40,60,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_canada,macro|ore|指数|经济,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-经济数据-加拿大-核心消费者物价指数年率 https://data.eastmoney.com/cjsj/foreign_7_5.html :return: 核心消费者物价指数年率 :rtype: pandas.DataFrame,
IRON_ORE,macro_japan_core_cpi_yearly,220,120,40,60,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_japan,macro|ore|指数|经济,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-经济数据-日本-全国核心消费者物价指数年率 https://data.eastmoney.com/cjsj/foreign_2_2.html :return: 全国核心消费者物价指数年率 :rtype: pandas.DataFrame,
IRON_ORE,macro_uk_core_cpi_yearly,220,120,40,60,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_uk,macro|ore|指数|经济,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-经济数据-英国-核心消费者物价指数年率 https://data.eastmoney.com/cjsj/foreign_4_4.html :return: 核心消费者物价指数年率 :rtype: pandas.DataFrame,
IRON_ORE,forex_spot_em,218,150,48,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.forex.forex_em,ore|spot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富网-行情中心-外汇市场-所有汇率-实时行情数据 https://quote.eastmoney.com/center/gridlist.html#forex_all :return: 实时行情数据 :rtype: pandas.DataFrame,
