"Flow","Lang","FunctionArea","Rank","Name","Install","UseCase","RiskNote"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","1","PSScriptAnalyzer","Install-Module PSScriptAnalyzer -Scope CurrentUser -Force","PowerShell static analysis, AST lint, fixable findings","Run after parse clean"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","1","pandas","python -m pip install pandas","Tabular ETL, event-log shaping","Stable core"
"01_Panorama_Discovery","Python","EnterpriseFormReading","1","docling","python -m pip install docling","PDF/DOCX/PPTX/image conversion, layout/table/OCR pipeline","Heavy; install only in sandbox env"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","1","typescript","npm install -g typescript","Type checking","Global optional"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","1","xunit","dotnet add package xunit","C# unit testing","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","2","Pester","Install-Module Pester -Scope CurrentUser -Force","PowerShell unit/integration tests","Needs tests to exist"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","2","polars","python -m pip install polars","Fast low-memory dataframe engine","Great for large logs"
"01_Panorama_Discovery","Python","EnterpriseFormReading","2","paddleocr","python -m pip install paddleocr","OCR and PP-Structure document parsing","Heavy; model downloads"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","2","eslint","npm install -g eslint","JS/TS lint","Config needed"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","2","NUnit","dotnet add package NUnit","C# unit testing","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","3","PSWriteHTML","Install-Module PSWriteHTML -Scope CurrentUser -Force","Detailed HTML dashboards/reports","Optional; fallback HTML exists"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","3","duckdb","python -m pip install duckdb","Local OLAP, parquet/sql analytics","Excellent local DB"
"01_Panorama_Discovery","Python","EnterpriseFormReading","3","ocrmypdf","python -m pip install ocrmypdf","Searchable PDFs with OCR layer","Needs Tesseract/Ghostscript"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","3","prettier","npm install -g prettier","Formatter","Config needed"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","3","FluentAssertions","dotnet add package FluentAssertions","Readable assertions","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","4","ImportExcel","Install-Module ImportExcel -Scope CurrentUser -Force","XLSX output for review matrices","Optional"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","4","pyarrow","python -m pip install pyarrow","Parquet/Arrow interchange","Needed for parquet"
"01_Panorama_Discovery","Python","EnterpriseFormReading","4","pytesseract","python -m pip install pytesseract","Tesseract Python wrapper","Needs Tesseract binary"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","4","vite","npm install -g vite","Fast UI dev server/build","Optional"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","4","Serilog","dotnet add package Serilog","Structured logs","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","5","PSFramework","Install-Module PSFramework -Scope CurrentUser -Force","Structured logging","Optional"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","5","pm4py","python -m pip install pm4py","Process mining algorithms/event logs","Core process mining"
"01_Panorama_Discovery","Python","EnterpriseFormReading","5","pdfplumber","python -m pip install pdfplumber","PDF text/table extraction","Good for digital PDFs"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","5","playwright","npm install -g playwright","Browser UI testing","Needs browser install"
