"def_function_area","def_language","def_top10_local_free_libs","def_use_case"
"PowerShell Orchestration","PowerShell","Pester; PSScriptAnalyzer; ThreadJob; ImportExcel; PSWriteHTML; PSFramework; Pode; BurntToast; SecretManagement; PSReadLine","test, lint, parallel child jobs, Excel/CSV, HTML reports, local UI, notifications"
"PowerShell Windows Governance","PowerShell","Microsoft.PowerShell.Management; Microsoft.PowerShell.Utility; ThreadJob; CimCmdlets; PSReadLine; CompletionPredictor; PSWindowsUpdate; WinGet.Client; SecretStore; ImportExcel","safe Windows I/O, environment detection, update planning, local registry reports"
"Python Data Core","Python","pandas; polars; duckdb; pyarrow; numpy; scipy; pydantic; pandera; rich; tqdm","dataframes, local DB, parquet, schema validation, CLI matrix progress"
"Python Web/API Fetch","Python","requests; httpx; aiohttp; urllib3; tenacity; requests-cache; cachetools; beautifulsoup4; lxml; feedparser","official API fetch, retry, local cache, HTML/XML parsing"
"Python PDF/OCR VRN","Python","pdfplumber; PyMuPDF; pdfminer.six; pypdf; camelot-py; tabula-py; pytesseract; easyocr; opencv-python; Pillow","PDF table/text extraction, OCR, image layout, table reconstruction"
"Python CV/Layout","Python","opencv-python; scikit-image; Pillow; imageio; numpy; scipy; layoutparser; shapely; networkx; matplotlib","layout detection, image preprocessing, geometric reconstruction, diagnostics"
"Python Testing/Quality","Python","pytest; hypothesis; coverage; ruff; black; mypy; bandit; tox; nox; deepdiff","test, property checks, coverage, lint, type checks, diff audit"
"Python Config/Registry","Python","jsonschema; fastjsonschema; pydantic; cerberus; voluptuous; ruamel.yaml; PyYAML; tomli; orjson; msgspec","schema validation, YAML/JSON registry, fast serialization"
"JavaScript UI Matrix","JavaScript","Vanilla JS; Plotly.js; D3.js; ECharts; Tabulator; AG Grid Community; PapaParse; SheetJS; Fuse.js; Mermaid","local dashboards, charts, tables, CSV/XLSX parsing, search, flow diagrams"
"HTML/CSS One Interface","HTML/CSS","CSS Grid; Flexbox; CSS variables; clamp(); container queries; media queries; sticky table headers; overflow-wrap; backdrop-filter; local fonts fallback","compact one-page reports, equal-height panels, small-font professional UI"
"Local DB/Storage","Python/SQL","DuckDB; SQLite; pyarrow; parquet-tools; pandas; polars; sqlite-utils; datasette; csvkit; frictionless","local analytics DB, parquet/csv registry, validation and browser inspection"
"Visualization/Report","Python/JS","Plotly; matplotlib; bokeh; altair; pyecharts; networkx; graphviz; Mermaid; Tabulator; PSWriteHTML","matrix reports, chart reports, dependency graph, one-page UI"
