"def_priority","def_gate_type","def_accept_status","def_recommendation","def_risk","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_user_accept","def_selected_canonical_value","def_reject_reason","def_next_allowed_phase","def_source_mutation","def_sample_values"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","ticker","459","","","","v0114_only_after_YES","false","""All TW_TICKER"" || ""TW_Index_Ticker"" || ""ProviderTicker"" || ""CN_HK_Ticker"" || ""MacroIndicatorCode"" || ticker, ""term"": term, ""utc"": _utc()"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","policy","128","","","","v0114_only_after_YES","false","policy = $def_PARAM_POLICY || policy = [ordered]@{type=""object""} || { || ""Fed"" || ""ECB"" || ""PBOC/LPR/RRR"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit","83","","","","v0114_only_after_YES","false","""days"" || ""exact"" || ""opinion_preserved"" || ""指數"" || ""美元"" || ""美元/桶"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","field","48","","","","v0114_only_after_YES","false","""Adj Open"" || ""Adj Low"" || ""Adj High"" || c || ""report_date"" || ""broker"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","parsed_ticker","37","","","","v0114_only_after_YES","false","""6415"" || """" || ""2383"" || ""3675"" || ""4771"" || ""3665"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema","36","","","","v0114_only_after_YES","false","""VPNS_NORMALIZED_EXTRACTION_BLOCK"" || ""VIA.CodexNexus.GovernanceRegistry"" || schema    = 'VIA.CodexNexus.RunLog' || schema = ""VIA.EngineForge.Config"" || schema = ""VIA.Engine.Manifest"" || schema = ""VIA.Engine.RuntimeConfig"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","field_id","36","","","","v0114_only_after_YES","false","""BAS_01"" || ""BAS_02"" || ""BAS_03"" || ""BAS_04"" || ""BAS_05"" || ""BAS_06"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","fields","24","","","","v0114_only_after_YES","false","[""source_id"", ""source_type"", ""block_id"", ""extracted_text"" || [ || fields=sorted(set(str(k) for row in rows for k in row.keys() if k is not None)) || fields=[str(s) for s in (schema_fields or [""_empty""])] || fields = sorted(set(k for r in rows for k in r.keys())) || fields = text_fields"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","tickers","23","","","","v0114_only_after_YES","false","[""NVDA"", ""AAPL"", ""MSFT""] || [""GOOGL"", ""AAPL""] || [""WMT"", ""NVDA"", ""AMZN""] || [""UNH"", ""CVS"", ""MCK"", ""COR""] || [""SNDK"", ""WDC"", ""MU"", ""STX""] || [""PLTR"", ""APP"", ""CRWD""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","yfinance","21","","","","v0114_only_after_YES","false","{ || ""無需金鑰"" || {""enabled"": True,  ""auto_adjust"": False, ""timeout_sec"": 30, ""retries"": 3} || False || true || 0"
