"Time","Round","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T12:55:41.431+08:00","Round0","POLICY","Parquet SSOT","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","main_format","parquet","Parquet is main storage format from this gate.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\stage_parquet"
"2026-06-15T12:55:41.432+08:00","Round0","POLICY","CSV Audit Only","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","csv_role","audit_only","CSV is only audit/sample, not canonical stage.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\audit"
"2026-06-15T12:55:41.433+08:00","Round0","POLICY","No Original Overwrite","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","overwrite","false","Create parquet staging copy only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541"
"2026-06-15T12:55:41.433+08:00","Round0","POLICY","No Extraction Rerun","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","rerun_extraction","false","Do not rerun VRN 1C.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541"
"2026-06-15T12:55:41.434+08:00","Round0","POLICY","Ragged Preserve No Realign","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","ragged_policy","preserve+flag","Ragged rows preserved into _csv_overflow and flagged; never realign-guessed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541"
"2026-06-15T12:55:41.444+08:00","Round0","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","source_repair","false","No source modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541"
"2026-06-15T12:55:41.629+08:00","Round1","DIAGNOSE","VRN_ParquetUnifiedStageRepair.stderr.txt","OK_FOUND","LOW","PARALLEL_SAFE","P1","chars","456","  File ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"", line 2
    650b2d77cd95cd86,144913c917d9,2025-08-19,6873,,兆豐,,買進,,,100,1.0,False,20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20250819兆豐個股報告-泓德能源(6873).pdf
      ^
SyntaxError: invalid decimal literal
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C2_20260615_123205\runtime\VRN_ParquetUnifiedStageRepair.stderr.txt"
"2026-06-15T12:55:42.154+08:00","Round1","INPUT","Stage CSV Files","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","files","4","Original stage CSV files verified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_THREEROUND_PANORAMIC_CONSOLIDATION_v029DUAL0E_20260615_121827\runtime\VIA_ThreeRoundPanoramic_Runtime_v029DUAL0E.json"
"2026-06-15T12:55:42.748+08:00","Round1","ENGINE","pyarrow","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","pyarrow","available","pyarrow available.","C:\Python313\python.exe"
"2026-06-15T12:55:42.755+08:00","Round1","ENGINE","Parquet Repair Engine","OK_CREATED","LOW","PARALLEL_SAFE","P0","script","created","Hardened parquet repair engine (P-A..P-D) created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\work\vrn_parquet_unified_stage_repair_v1c3.py"
