family,subgroup,Code,supplied_name,official_name,market,yf_ticker,industry,existing_finegroup,code_name_status,review_action,proposed_primary_finegroup,proposed_secondary_tags,review_rationale
specialty_chemicals,substrate_manufacturing,4772,台特化,台灣特品化學股份有限公司,TPEX,4772.TWO,21.0,,OFFICIAL_NAME_AVAILABLE,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,substrate_manufacturing,4768,晶呈科技,晶呈科技股份有限公司,TPEX,4768.TWO,21.0,,NAME_LIKELY_MATCH,PRIMARY_PLUS_TAG,半導體材料,specialty_chemicals:substrate_manufacturing|specialty_chemicals:special_materials,Appears in two supplied subgroups; choose one primary and retain both chain roles as tags.
specialty_chemicals,substrate_manufacturing,6959,兆捷,,,,,,OFFICIAL_MASTER_MISSING,ADD_AFTER_NEW_LISTING_SYNC,半導體特用氣體與化學品,specialty_chemicals:substrate_manufacturing,"Official/public sources identify 6959 as 兆捷科技; absent from legacy DuckDB, likely a new-listing history boundary."
specialty_chemicals,substrate_manufacturing,1229,聯華,聯華,TWSE,1229.TW,2.0,,NAME_LIKELY_MATCH,REVIEW_PRIMARY,,specialty_chemicals:review,Official industry code is 02; supplied semiconductor-chemical role is not confirmed by the supplied master.
specialty_chemicals,substrate_manufacturing,6667,信紘科,信紘科技股份有限公司,TPEX,6667.TWO,31.0,半導體廠務與裝機,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,substrate_manufacturing,4770,上品,上品,TWSE,4770.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,substrate_manufacturing,6823,濾能,濾能股份有限公司,TPEX,6823.TWO,24.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,substrate_manufacturing,4580,捷流閥業,捷流閥業股份有限公司,TPEX,4580.TWO,5.0,,NAME_LIKELY_MATCH,TAG_ONLY,,specialty_chemicals:valve_equipment,Valve/equipment role is not the same as specialty chemicals; keep as secondary tag pending business evidence.
specialty_chemicals,substrate_manufacturing,1468,泓和,昶和,TWSE,1468.TW,4.0,,OFFICIAL_NAME_AVAILABLE,TAG_ONLY,,specialty_chemicals:review,Official name mismatch; do not assign a chemical primary group.
specialty_chemicals,wet_process,6949,新應材,沛爾生醫-創,TWSE,6949.TW,22.0,,OFFICIAL_NAME_AVAILABLE,REPLACE_CODE,4749 新應材,specialty_chemicals:wet_process,User supplied 6949 is 沛爾生醫-創 in official master; 新應材 is 4749.
