"def_function","def_language","def_top10_local_free_libs","def_use_case","def_phase"
"PowerShell Orchestration","PowerShell","Pester; PSScriptAnalyzer; ThreadJob; ImportExcel; PSWriteHTML; Pode; PSFramework; BurntToast; SecretManagement; PSReadLine","測試、lint、背景工作、Excel/HTML 報告、local UI、log、通知、互動輸入","FLOW03/FLOW04/FLOW05"
"Python Data Engine","Python","pandas; polars; duckdb; pyarrow; numpy; requests; httpx; pydantic; rich; tqdm","資料抓取、轉換、Parquet/DuckDB、schema validation、進度條","FLOW01/FLOW02/FLOW03"
"Finance Market Fetch","Python","yfinance; akshare; pandas_datareader; fredapi; investpy; yahooquery; exchange_calendars; pandas-market-calendars; requests-cache; tenacity","YFinance 優先、AKShare 次之、FRED/ETF/指數/商品/利率/重試快取","VDF FLOW03"
"Macro / Sentiment","Python","fredapi; pandas_datareader; requests; beautifulsoup4; lxml; trafilatura; feedparser; tenacity; requests-cache; python-dateutil","FRED、AAII、CNN Fear & Greed proxy、官方頁面解析、日期標準化","VDF FLOW03/FLOW04"
"PDF / Report Extraction","Python","pdfplumber; PyMuPDF; pdfminer.six; pypdf; camelot-py; tabula-py; opencv-python; pillow; pytesseract; rapidfuzz","VRN PDF 表格、文字、OCR、版面、券商 alias match","VRN FLOW03/FLOW04"
"Schema / Registry","Python","jsonschema; pydantic; ruamel.yaml; PyYAML; duckdb; sqlite-utils; deepdiff; rapidfuzz; orjson; msgspec","UnifiedSpec、GovernanceRegistry、LayoutRegistry、VisualRegistry、差異比較","FLOW02"
"HTML UI / Dashboard","JavaScript","Vanilla JS; Plotly.js; D3.js; ECharts; Tabulator; Grid.js; Fuse.js; PapaParse; Day.js; Tippy.js","一頁式多矩陣、搜尋、圖表、CSV preview、tooltip","FLOW05"
"CSS Visual Lock","CSS/HTML","CSS Grid; Flexbox; CSS variables; clamp(); container queries; sticky header; text-overflow; prefers-reduced-motion; local font-face; SVG pattern","小字體、同高卡片、nowrap 表格、丹青水墨 visual lock","VIS FLOW05"
"Testing / Static Quality","Python","pytest; ruff; black; isort; mypy; pyright; bandit; vulture; coverage.py; hypothesis","test debug upgrade optimize consolidate 前後檢查","FLOW04"
"Testing / Browser UI","JavaScript","Playwright; Vitest; Jest; ESLint; Prettier; axe-core; Lighthouse; jsdom; html-validate; pixelmatch","HTML UI user-test、可讀性、可及性、版面回歸","VHS FLOW04"
"Performance / Cache","Python","joblib; diskcache; requests-cache; cachetools; lz4; zstandard; pyarrow; duckdb; polars; tqdm","資料抓取快取、Parquet、DuckDB、增量輸出","FLOW03"
"Windows Integration","PowerShell","ThreadJob; ScheduledTasks; BurntToast; PSWindowsUpdate; WinGet.Client; SecretManagement; ImportExcel; PSScriptAnalyzer; Pester; PSReadLine","Windows I/O、通知、環境偵測、安裝計劃、排程","Supportive FLOW03"
"Document / Methodology","Python","python-docx; mammoth; markdown; beautifulsoup4; lxml; mistune; pypandoc; rich; jinja2; weasyprint","VEF.docx、methodology、README、HTML 報告產生","VEF FLOW02/FLOW05"
"Signal / Rotation","Python","pandas; polars; numpy; scipy; statsmodels; ta; pandas-ta; duckdb; pyarrow; plotly","VPF 個股訊號、族群輪動、因子矩陣","VPF FLOW03/FLOW05"
