"Flow","Language","Rank","Library","Use","InstallMode","Risk","LicenseNote"
"Chart Rendering","JavaScript","1","Plotly.js","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","2","Apache ECharts","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","3","Chart.js","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","4","D3.js","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","5","Vega-Lite","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","6","uPlot","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","7","Observable Plot","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","8","ApexCharts","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","9","Billboard.js","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart Rendering","JavaScript","10","Recharts","單圖、單軸、雙軸、互動圖表、小圖","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","1","Interact.js","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","2","GridStack.js","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","3","SortableJS","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","4","Moveable","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","5","Draggable","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
