"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-11T11:49:25.387+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","db_write","false","This run never writes DATABASE.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T11:49:25.388+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","canonical_merge","false","This run never canonical-merges.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925"
"2026-06-11T11:49:25.389+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Delete Default","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","PATCH_ONLY","delete_default","false","Remove-Item will be blocked unless explicit switch and token are supplied.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925"
"2026-06-11T11:49:25.516+08:00","Round0","VIA","VALIDATION","PRE_AST","Target Pre AST","OK_PARSE","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","parse_errors","0","Target parses before patch.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:49:25.517+08:00","Round0","VIA","RISK","PRE_EXEC_RISK","Pre-patch Forbidden Commands","OK_CREATED","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","forbidden","1","Pre-patch forbidden command hits: Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:49:25.574+08:00","Round1","VIA","SAFE_PATCH","EXEC_RISK","Invoke-VIA-ALL.ps1 Remove-Item Guard","BLOCK_PATCH_PARSE_FAIL","HIGH","SEQUENTIAL_REQUIRED","P0","PATCH_WITH_BACKUP","remaining_forbidden","0","L47:1 Unexpected attribute 'CmdletBinding'. | L48:1 Unexpected token 'param' in expression or statement. | L50:24 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:49:25.589+08:00","Round2","VIA","VALIDATION","POST_AST","Target Post AST","BLOCK_PARSE_FAIL","HIGH","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","parse_errors","3","L47:1 Unexpected attribute 'CmdletBinding'. | L48:1 Unexpected token 'param' in expression or statement. | L50:24 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:49:25.590+08:00","Round2","VIA","RISK","POST_EXEC_RISK","Post-patch Forbidden Commands","OK_NONE_FOUND","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","forbidden","0","No forbidden command remains in target AST.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:49:25.591+08:00","Round3","VIA","USER_TEST","GATE","Activation User-Test Gate","OK_PLAN_CREATED","HIGH","SEQUENTIAL_GATED","P0","PLAN_ONLY","status","BLOCKED_PARSE_REVIEW_REQUIRED","Activation user-test gate created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925"
"2026-06-11T11:49:25.622+08:00","Round3","VIA","CONSOLIDATE","HTML_REPORT","HTML UI Matrix Report","OK_CREATED","LOW","PARALLEL_SAFE","P0","REPORT_ONLY","html","created","HTML report created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925\report\VIA_ActivationUserTestGate_Report_v02865.html"
