"def_priority","def_normalized_key","def_owner_engine","def_domain_family","def_secret_class","def_secret_block","def_secret_action","def_secret_reason","def_user_accept","def_sample_values_masked"
"SECRET_TRIAGE","fred","VDF","DATA_SOURCE_CONTRACT","ENV_REFERENCE_ONLY","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","References environment variable usage, not a printed raw value.","","{ || ""環境變數 FRED_API_KEY"" || {""enabled"": True,  ""api_key"": """", ""timeout_sec"": 30, ""retries"": 3} || [ || DGS10"":     df_with_value_column || DCOILWTICO"": df"
"SECRET_TRIAGE","HardGate","VDF","DATA_SOURCE_CONTRACT","LIKELY_FALSE_POSITIVE_POLICY_TEXT","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Policy text or governance phrase was masked as long token.","","""TWSE v018 manifest exists; rows >= 2460; CSV/JSON/Parquet/DuckDB exist."" || ""Do not execute all 20 paths. Select one quote/list endpoint first."" || ""First safe table = VDF_TW_MonthlyRevenue."" || ""MonthlyRevenue seal must exist first."" || ""FRED_API_KEY exists; package env ready."" || ""Capability probe seal must exist first."""
"SECRET_TRIAGE","schema_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","FALSE_POSITIVE_PATH_OR_RUN_ID","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Masked long token appears inside local path/RUN_ID/file name.","","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\VRN_v141A_Consumer_Loader_... || OUT_SCHEMA_CSV || str(run_dir / ""vrn_post_commit_schema_v0615721.csv"") || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\VRN_v140L_Table_Sc... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_post_commit_schema_v06... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\***MASKED_LONG_TOKEN***\\VRN_v140H_Production_Tab..."
"SECRET_TRIAGE","mixing_policy","VDF","DATA_SOURCE_CONTRACT","LIKELY_FALSE_POSITIVE_POLICY_TEXT","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Policy text or governance phrase was masked as long token.","","""official_source_only_when_row.other_source == not_allowed"" || ""allowed_only_when_registry_row.source includes MOPS"" || ""***MASKED_LONG_TOKEN***"" || ""allowed_only_when fallback_allowed == true"" || ""allowed_only_for_macro/rates/long_series or fallback_allowed == true"" || ""not primary unless explicitly allowed by historical_validation_policy"""
"SECRET_TRIAGE","fred_api_key_exists","VDF","DATA_SOURCE_CONTRACT","ENV_REFERENCE_OR_BOOLEAN_FLAG","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Looks like env key names or boolean capability flags, not a raw credential.","","true || fred_key_exists || result[""fred_api_key_exists""] || bool(os.environ.get(""FRED_API_KEY"")) || any(bool(os.environ.get(k, """").strip()) for k in fred_keys)"
"SECRET_TRIAGE","ticker_regex","VDF","MARKET_TICKER_IDENTITY","FALSE_POSITIVE_PATH_OR_RUN_ID","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Masked long token appears inside local path/RUN_ID/file name.","","""^[0-9A-Z]{4,8}$"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\***MASKED_LONG_TOKEN***\\parquet\\VRN_TickerRegexSSOT_v029SSOT1B.par... || os.path.join(parquet_dir, ""VRN_TickerRegexSSOT_v029SSOT1B.parquet"") || ticker_regex = [ || ""^(?!202[1-9])(?!2030)[1-9]\\d{3}$"""
"SECRET_TRIAGE","ticker_summary_csv","VDF","MARKET_TICKER_IDENTITY","FALSE_POSITIVE_PATH_OR_RUN_ID","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Masked long token appears inside local path/RUN_ID/file name.","","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_business_validation_by_t... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_business_validation_by_t... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\***MASKED_LONG_TOKEN***\\vrn_business_validation_by_t... || str(run_dir / ""***MASKED_LONG_TOKEN***.csv"")"
"SECRET_TRIAGE","ticker_tokens","VDF","MARKET_TICKER_IDENTITY","REVIEW","true","MANUAL_SECRET_REVIEW_REQUIRED","Conservative default: keep blocked until reviewed.","","ticker_tokens = [] || list(dict.fromkeys(ticker_tokens)) || ticker_tokens || "" | "".join(ticker_tokens)"
"SECRET_TRIAGE","unit_review_csv","VRN/VDF","SCHEMA_FIELD_CONTRACT","FALSE_POSITIVE_PATH_OR_RUN_ID","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Masked long token appears inside local path/RUN_ID/file name.","","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_review_v055.csv"" || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_review_v054.csv"" || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_review_v053.csv"" || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_integrated_trust_runs\\***MASKED_LONG_TOKEN***\\vrn_unit_precision_review_v0521..."
"SECRET_TRIAGE","fred_keys","VDF","DATA_SOURCE_CONTRACT","ENV_REFERENCE_OR_BOOLEAN_FLAG","false","CLEAR_SECRET_BLOCK_KEEP_MANUAL_ACCEPT","Looks like env key names or boolean capability flags, not a raw credential.","","fred_keys = [""FRED_API_KEY"",""VDF_FRED_API_KEY"",""VIA_FRED_API_KEY""] || fred_keys = [ || fred_keys = [""FRED_API_KEY"", ""VDF_FRED_API_KEY"", ""VIA_FRED_API_KEY""]"
