"def_function_area","def_language","def_top10_local_free_libs"
"PowerShell Orchestration","PowerShell","Pester; PSScriptAnalyzer; ThreadJob; ImportExcel; PSWriteHTML; PSFramework; BurntToast; PSReadLine; CompletionPredictor; SecretManagement"
"Python Data Engine","Python","pandas; polars; pyarrow; duckdb; numpy; pydantic; requests; httpx; tenacity; rich"
"Market Data","Python","yfinance; akshare; pandas-datareader; fredapi; pandasdmx; eurostat; exchange-calendars; pandas-market-calendars; beautifulsoup4; lxml"
"Static Analysis","Python/PS","ast; libcst; parso; rope; ruff; mypy; pyflakes; PSScriptAnalyzer; Pester; radon"
"HTML UI","HTML/CSS/JS","Plotly; D3; ECharts; Tabulator; Grid.js; DataTables; PapaParse; Fuse.js; Marked; Mermaid"
"UI Test","JavaScript","Playwright; Vitest; ESLint; Prettier; jsdom; axe-core; Lighthouse; Chart.js; PapaParse; fast-glob"
"Registry Schema","JSON/YAML","ajv; jsonschema; pydantic; ruamel.yaml; yq; jq; jsonlines; frictionless; csvkit; duckdb"
"PDF/Doc","Python","PyMuPDF; pdfplumber; pypdf; camelot; tabula-py; pdfminer.six; openpyxl; python-docx; beautifulsoup4; lxml"
"Visualization","Python/JS","matplotlib; plotly; altair; bokeh; pygal; networkx; graphviz; folium; D3; ECharts"
"Acceleration/Safety","Mixed","joblib; concurrent.futures; asyncio; tenacity; diskcache; sqlite; duckdb; tqdm; rich; psutil"
