"GroupKind","GroupID","Count","Example","Action"
"Same Source","SRC___","5","下載__96C657203B.jpg","Likely same origin / same family; good for project package."
"Same Source","SRC_0","3","0__1F7D26AC9C.jpg","Likely same origin / same family; good for project package."
"Same Source","SRC_back-link-icon","4","Back-Link-Icon__382DBFCFD7.png","Likely same origin / same family; good for project package."
"Same Source","SRC_black-hat-icon","4","Black-hat-Icon__778325E1DD.png","Likely same origin / same family; good for project package."
"Same Source","SRC_blog-commenting-icon","4","Blog-Commenting-Icon__C4BE127220.png","Likely same origin / same family; good for project package."
"Same Source","SRC_campaign-tweaking-icon","4","Campaign-Tweaking-Icon__04EA213257.png","Likely same origin / same family; good for project package."
"Same Source","SRC_commodities_shipping_full_matrix","2","commodities_shipping_full_matrix_(1)__9F9D2478F0.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_competitive-keyword-icon","4","Competitive-Keyword-Icon__85050460F4.png","Likely same origin / same family; good for project package."
"Same Source","SRC_content-writing-icon","4","Content-Writing-Icon__2583390822.png","Likely same origin / same family; good for project package."
"Same Source","SRC_custom-coding-icon","4","Custom-Coding-Icon__343480EA92.png","Likely same origin / same family; good for project package."
"Same Source","SRC_download-information-icon","4","Download-Information-Icon__397E739437.png","Likely same origin / same family; good for project package."
"Same Source","SRC_email-marketing-icon","4","Email-Marketing-Icon__03BFBB8EFC.png","Likely same origin / same family; good for project package."
"Same Source","SRC_etf_universe_matrix","2","etf_universe_matrix_(1)__EDCA243FD6.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_events-calendar-icon","4","Events-Calendar-Icon__021D88F828.png","Likely same origin / same family; good for project package."
"Same Source","SRC_file","2","file.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_fund_flow_calculation_methodology","2","fund_flow_calculation_methodology_(1)__B51B50FEB7.png","Likely same origin / same family; good for project package."
"Same Source","SRC_homepage-optimization-icon","4","Homepage-Optimization-Icon__149E4BB053.png","Likely same origin / same family; good for project package."
"Same Source","SRC_icon_extraction_pipeline","2","icon_extraction_pipeline.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_images","9","images__BDE3540848.jpg","Likely same origin / same family; good for project package."
"Same Source","SRC_keyword-analysis-icon","4","Keyword-Analysis-Icon__8739581FEB.png","Likely same origin / same family; good for project package."
"Same Source","SRC_keyword-selection-icon","4","Keyword-Selection-Icon__1EBE225771.png","Likely same origin / same family; good for project package."
"Same Source","SRC_licensed-image","2","licensed-image__5618EC9F9B.jpg","Likely same origin / same family; good for project package."
"Same Source","SRC_link-building-icon","4","Link-Building-Icon__5CCDDBFADF.png","Likely same origin / same family; good for project package."
"Same Source","SRC_market-analysis-icon","4","Market-Analysis-Icon__18773E283C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_mobile-marketing-icon","4","Mobile-Marketing-Icon__7E187E3E54.png","Likely same origin / same family; good for project package."
"Same Source","SRC_natural-link_icon","4","Natural-Link_icon__4992C2246E.png","Likely same origin / same family; good for project package."
"Same Source","SRC_notion_program_management","3","notion_program_management.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_notion-cover-headers","4","notion-cover-headers__8461D4CCDB.jpg","Likely same origin / same family; good for project package."
"Same Source","SRC_organic-search-icon","4","Organic-Search-Icon__2167E16C51.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page-rank-checker-icon","4","Page-Rank-Checker-Icon__1FD8E5AC7E.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page-speed-icon","4","Page-Speed-Icon__075F87C6CE.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img1","10","page1_img1__18E1D284FB.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img1__dup","12","page1_img1__DUP__20F73D3B2E.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img2","8","page1_img2__13C579E7A2.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img2__dup","9","page1_img2__DUP__2F49C42B9B.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img3","2","page1_img3__2AEB40ED81.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img3__dup","14","page1_img3__DUP__08CA1C5D2C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img4","2","page1_img4__2DA23752B1.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img4__dup","2","page1_img4__DUP__5F25B1E0C6.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page1_img5","2","page1_img5__52E235D352.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page10_img1","5","page10_img1__01EE109EA8.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page10_img2","3","page10_img2__1AEE2BF604.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page10_img3","4","page10_img3__21F3CD1BB3.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page10_img4","3","page10_img4__91635C08D7.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page10_img4__dup","2","page10_img4__DUP__197AD390DC.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page10_img5__dup","3","page10_img5__DUP__342453A133.png","Likely same origin / same family; good for project package."
