"Id","Failure","Risk","Solution","Class"
"1","Missing input file","HIGH","Mark missing in registry, skip execution, require path fix before activation.","SEQUENCE_DEPENDENT"
"2","PowerShell parser error","HIGH","Use AST parse message, fix exact line, rerun sandbox parse only.","SEQUENCE_DEPENDENT"
"3","Remove-Item in optimizer path","HIGH","Downgrade to report-only or quarantine plan; never direct delete.","SEQUENCE_DEPENDENT"
"4","Clear-RecycleBin usage","HIGH","Disable; use recoverable quarantine and manual review.","SEQUENCE_DEPENDENT"
"5","Stop-Process usage","HIGH","Replace with detection/report; user closes process manually.","SEQUENCE_DEPENDENT"
"6","Docker prune volumes","HIGH","Permit docker system df only; volumes require explicit backup and manual approval.","SEQUENCE_DEPENDENT"
"7","Global PATH mutation","MEDIUM","Use process-local PATH; write env plan instead of applying globally.","SEQUENCE_DEPENDENT"
"8","OneDrive online-only forced download","MEDIUM","Skip reparse/cloud placeholders; use explicit Free up space helper only.","PARALLEL_FIXABLE"
"9",".git deletion or cleanup","HIGH","Protect .git; use git gc only when repo is clean and backed up.","SEQUENCE_DEPENDENT"
"10","node_modules active project removal","MEDIUM","Classify as cache candidate only; require lockfile and rebuild plan.","PARALLEL_FIXABLE"
"11","venv/site-packages removal","MEDIUM","Protect active env; only stale env candidate after manifest verification.","PARALLEL_FIXABLE"
"12","Huge duplicated CSV/Parquet","LOW","Use size+extension candidate then SHA256; report/quarantine only.","PARALLEL_FIXABLE"
"13","HTML report huge due base64","LOW","Move assets external; compress; keep final/latest only.","PARALLEL_FIXABLE"
"14","Recursive junction loop","HIGH","Skip reparse points; cap MaxFiles and MaxDepth.","SEQUENCE_DEPENDENT"
"15","Long path failures","MEDIUM","Use LiteralPath and extended-path awareness; report failures.","SEQUENCE_DEPENDENT"
"16","Encoding corruption","MEDIUM","Use UTF8 with BOM only for Excel CSV; UTF8 for JSON/HTML.","PARALLEL_FIXABLE"
"17","Invalid JSON from child script","MEDIUM","Capture stdout/stderr separately; validate with ConvertFrom-Json.","PARALLEL_FIXABLE"
"18","Port conflict","LOW","Probe port; choose next candidate; report selected port.","PARALLEL_FIXABLE"
"19","Browser auto-open blocked","LOW","Print HTML path; skip browser with -NoBrowser.","PARALLEL_FIXABLE"
"20","Admin-required command","MEDIUM","Detect admin status; degrade to read-only report when not elevated.","PARALLEL_FIXABLE"
"21","Network dependency","MEDIUM","Local-only by default; no install unless explicit flag added in future.","PARALLEL_FIXABLE"
"22","Package version conflict","MEDIUM","Generate env plan; avoid global pip/npm install.","PARALLEL_FIXABLE"
"23","C drive low space during run","HIGH","Preflight disk check; write outputs under chosen root; cap logs.","SEQUENCE_DEPENDENT"
"24","Hydra cascade risk","HIGH","Classify parallel vs sequence; cap fixes at three rounds.","SEQUENCE_DEPENDENT"
"25","False duplicate detection by size only","HIGH","Size/extension only candidate; SHA256 required for confirmed duplicate.","SEQUENCE_DEPENDENT"
