"StylePackId","Count","Extension","Family","Category","SizeHint","ColorHint","Role","AiInstruction"
"MATERIAL_SYMBOL_0000F5_36DP","87",".svg","MATERIAL_SYMBOL_SVG_SET","01_registry_identity_anchor","36","#0000F5","Blue Material Symbol; system UI, data, tools, general controls.","For system UI and status icons. Keep color semantics consistent within the same section."
"MATERIAL_SYMBOL_5985E1_36DP","1",".svg","MATERIAL_SYMBOL_SVG_SET","05_file_format_export","36","#5985E1","Backup style pack; manual review recommended before UI use.","For system UI and status icons. Keep color semantics consistent within the same section."
"MATERIAL_SYMBOL_9DC384_36DP","1",".svg","MATERIAL_SYMBOL_SVG_SET","02_finance_market_trading","36","#9DC384","Green Material Symbol; trend/status semantic marker.","For system UI and status icons. Keep color semantics consistent within the same section."
"MATERIAL_SYMBOL_EA3323_36DP","18",".svg","MATERIAL_SYMBOL_SVG_SET","01_registry_identity_anchor","36","#EA3323","Red Material Symbol; warning, risk, crisis, failure, alert.","For system UI and status icons. Keep color semantics consistent within the same section."
"MATERIAL_SYMBOL_FFFF55_36DP","2",".svg","MATERIAL_SYMBOL_SVG_SET","05_file_format_export","36","#FFFF55","Yellow Material Symbol; highlight, energy, favorite, accelerator.","For system UI and status icons. Keep color semantics consistent within the same section."
"SEO_PNG_ICON_SET_128","40",".png","SEO_PNG_ICON_SET","02_finance_market_trading","128","","SEO / Business / Marketing / external-facing UI; use one same-size PNG set per UI section.","For SEO/business/marketing UI, use this StylePackId only. Do not mix with Material Symbol SVG in the same card group."
"SEO_PNG_ICON_SET_256","40",".png","SEO_PNG_ICON_SET","02_finance_market_trading","256","","SEO / Business / Marketing / external-facing UI; use one same-size PNG set per UI section.","For SEO/business/marketing UI, use this StylePackId only. Do not mix with Material Symbol SVG in the same card group."
"SEO_PNG_ICON_SET_48","40",".png","SEO_PNG_ICON_SET","02_finance_market_trading","48","","SEO / Business / Marketing / external-facing UI; use one same-size PNG set per UI section.","For SEO/business/marketing UI, use this StylePackId only. Do not mix with Material Symbol SVG in the same card group."
"SEO_PNG_ICON_SET_72","40",".png","SEO_PNG_ICON_SET","02_finance_market_trading","72","","SEO / Business / Marketing / external-facing UI; use one same-size PNG set per UI section.","For SEO/business/marketing UI, use this StylePackId only. Do not mix with Material Symbol SVG in the same card group."
"SVG_MISC_STYLE","28",".svg","MATERIAL_SYMBOL_SVG_SET","04_vap_chart_visualization","","","Backup style pack; manual review recommended before UI use.","Use only after visual review."
"VAP_CHART_TYPE_SVG_LIBRARY","64",".svg","VAP_CHART_SVG_SET","02_finance_market_trading","36","#0000F5","VAP chart type selector / visualization grammar / chart UI.","For VAP chart UI, use this StylePackId for chart-type cards and visualization selection."
