"Flow","Language","Rank","Library","Use","InstallMode","Risk","LicenseNote"
"HTML Template Parsing","Python","1","BeautifulSoup4","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","2","lxml","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","3","html5lib","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","4","Jinja2","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","5","MarkupSafe","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","6","Pydantic","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","7","jsonschema","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","8","TinyCSS2","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","9","cssselect","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","Python","10","Premailer","HTML 解析、template spec、元件切割、規格檢查","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","1","parse5","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","2","htmlparser2","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","3","cheerio","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","4","rehype","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","5","unified","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","6","hast-util-select","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","7","posthtml","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","8","nunjucks","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","9","handlebars","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Template Parsing","JavaScript","10","mustache","HTML AST、template builder、component extraction","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","1","Pillow","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","2","cairosvg","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","3","imagehash","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","4","opencv-python","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","5","scikit-image","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","6","svgpathtools","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","7","rembg","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","8","wand","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","9","pypng","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","Python","10","fonttools","圖像分類、切割、縮圖、hash 去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","1","sharp","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","2","svgo","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","3","jimp","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","4","canvas","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","5","pngjs","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","6","image-size","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","7","file-type","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
