Source,Role,Accepted,Rejected,Decision,Reason
554d172e-eb27-4209-906d-d25c6a4a5316.html,Classification candidate list,"First 31 groups; 149 rows; A/B/C candidate roles","Later cyclical simulated rows",ACCEPT_CORE_AS_REVIEW_CANDIDATE,"Core structure passes 31/149 gate; 104 market suffixes remain unverified"
2837dfb1-7ecb-42b0-8cd7-faa938770abc.html,Validation concept,"PCA absorption; CCF/lead-lag; permutation concepts","Synthetic result claims",REIMPLEMENT_WITH_DYNAMIC_THRESHOLDS,"Concepts retained; no source result promoted"
79040607-f150-47a8-baa3-9a64819dc315.html,Dashboard reference,"Compact analytical layout cues","External data claims",VISUAL_REFERENCE_ONLY,"No data or network dependency imported"
9744bb0e-c419-433c-9cc7-0a063a09377b.html,Fund-flow reference,"Rotation/time-series interaction cues","Mock flow data; external font",VISUAL_REFERENCE_ONLY,"All market rows rebuilt as controlled fixture"
8bd5bc08-9d82-4fb1-98d0-1763f5210a27.py,Classification algorithm reference,"Residualization and role concepts","Unsupported 93%+ claim; fixed thresholds; first-ticker leader",PARTIAL_REIMPLEMENTATION,"Evidence-based leader and dynamic thresholds replace assumptions"
9df6891b-d309-4af6-bc58-a21b2907308e.py,Validation algorithm reference,"PCA and pruning-review concepts","Volume zero-fill; PC sign ambiguity; retrospective 20D deletion; fixed thresholds",PARTIAL_REIMPLEMENTATION,"Absolute PCA loadings; missing retained; proposal-only human review"
3a2e975b-3512-437f-9a17-f5b359958e7b.py,Algorithm reference,"Readable conceptual fragments","AST failure caused by trailing Markdown fence",QUARANTINE_CODE_USE_CONCEPTS_ONLY,"Source is never imported or executed"
b7d943eb-4491-4d1f-aa18-4a952f3179cf.html,Review U/I reference,"Human diagnosis workflow cues","CDN dependencies; hard-coded examples; fake ML completion alert",REIMPLEMENT_OFFLINE,"Append-only human X ledger replaces fake automatic deletion"
3d616edd-3f96-44cf-9e5d-c885bf414120.html,49-group candidate intake,"49 groups; 252 memberships; 241 distinct tickers; source-reported attention/leadership","Index eligibility claims without complete VDF/PCA/CCF/permutation evidence",ACCEPT_REVIEW_QUEUE_BLOCK_INDEX,"Preserve 6116 conflict and four VDF-missing groups; canonical mutation remains zero"
32f56779-e9a8-45d5-8498-7517053f95a2.html,VDF control-panel contract,"U/I title and declared TWSE/TPEX universe constants","Fetcher success; network execution; live market coverage",CONTRACT_SUMMARY_ONLY,"No fetcher was executed; external font dependency is not embedded in offline dashboard"
貼上的 Markdown (1)(20260819-142001).md,ONE/FIS console contract,"Registry categories; method descriptions; evidence labels","Synthetic/estimated scenario values and NeedsFetch values",REVIEW_REFERENCE_ONLY,"Not used as the source for the 2026-07-18 rotation table and never promoted to measured"
USER_PROVIDED_MESSAGE_2026-08-19,Historical five-state rotation snapshot,"18 rows; 4/2/4/5/3 state counts; narrative and falsifier inputs","Claimed 29-row registry/schema cross-validation without attached registry or schema",PERSIST_AS_T2_T3_SOURCE_CONTRACT,"Saved as VIA_Rotation_Snapshot_20260718_v0400.json and validated row-for-row"
