id,category,item,vpns_hook,note,evidence_tier,source,status
VIA-KNW-0001,定義,流程探勘核心,VPNS.discover,從系統日誌自動還原實際流程並監控/優化,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0002,定義,數位雙胞胎,VPNS.model,把實際流程建成數據化模型以視覺化決策,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0003,定義,vs 傳統BPM,VPNS.governance,數據驅動還原 實況 vs 專家事前設計,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0004,問題型別,根本原因識別,VPNS.rootcause,定位偏差/異常的源頭(如工單重分配),T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0005,問題型別,瓶頸減少,VPNS.bottleneck,視覺化找出延誤環節,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0006,問題型別,返工減少,VPNS.rework,"標出重複性環節,導向自動化",T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0007,問題型別,自動化效益,VPNS.automation,辨識可自動化環節並估 ROI,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0008,問題型別,合規性,VPNS.compliance,"逐環節合規檢核,違規即告警",T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0009,效益,效能與生產力,VPNS.kpi,減流程耗時 + 提資源利用率,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0010,效益,降營運成本,VPNS.kpi,減人力 + 優化物料/設備配置,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0011,效益,改善客戶體驗,VPNS.kpi,提滿意度 + 縮等待時間,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0012,效益,數據驅動決策,VPNS.dashboard,即時儀表板支撐管理層調整,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0013,應用案例,P2P 採購到付款,SAP.MM/FI,違規採購/現金折扣優化,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0014,應用案例,O2C 訂單到收款,SAP.SD/FI,加速收款/減訂單錯誤,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0015,應用案例,AP 應付帳款,SAP.FI,提準確性/處理效率,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0016,應用案例,智能自動化結合,VPNS.rpa,自動生成流程 + RPA 腳本,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0017,應用案例,客戶 Onboarding,VPNS.flow,縮入駐時間,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0018,應用案例,IT 事件管理,VPNS.itsm,提支援效率/系統穩定,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0019,工具功能,流程自動發現,VPNS.discover,由日誌自動生成流程模型,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0020,工具功能,RPA 腳本生成,VPNS.rpa,自動產出自動化腳本,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
VIA-KNW-0021,工具功能,AI 流程模擬,VPNS.sim,以 AI 模擬流程變更影響,T2,IBM流程探勘指南(via 誤名 台達電.docx),active
