"Time","Round","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T13:06:09.515+08:00","Round0","POLICY","No Extraction Rerun","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","rerun_extraction","false","Read landed ReportText parquet only; no OCR re-run.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609"
"2026-06-15T13:06:09.517+08:00","Round0","POLICY","Page-1 Only","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","scan_zone","page1","Scan letterhead zone only; ignore rival broker mentions in body.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609"
"2026-06-15T13:06:09.518+08:00","Round0","POLICY","Text-Safe List","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","abbrev","excluded","Bare 2-letter abbreviations (MS/GS) excluded to stop false positives.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609"
"2026-06-15T13:06:09.519+08:00","Round0","POLICY","Preserve No Guess","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","no_match","stay_blank","Rows with no safe match stay blank and remain in review.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609"
"2026-06-15T13:06:09.519+08:00","Round0","POLICY","Append-Only","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","overwrite","false","Write NEW 1C.4 parquet; 1C.3 untouched.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609"
"2026-06-15T13:06:09.874+08:00","Round1","INPUT","1C.3 Parquet Stage","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","inputs","2","BasicInfo + ReportText parquet located.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_PARQUET_UNIFIED_STAGE_REPAIR_GATE_v029VRN1C3_20260615_125541\stage_parquet\VRN_ReportBasicInfo_StageFixed_v029VRN1C3.parquet"
"2026-06-15T13:06:10.577+08:00","Round1","ENGINE","pyarrow","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","pyarrow","available","pyarrow available.","C:\Python313\python.exe"
"2026-06-15T13:06:10.587+08:00","Round1","ENGINE","Broker Backfill Engine","OK_CREATED","LOW","PARALLEL_SAFE","P0","script","created","Backfill engine (page-1, text-safe) created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609\work\vrn_broker_backfill_v1c4.py"
"2026-06-15T13:06:13.256+08:00","Round2","BACKFILL","Python Broker Backfill","OK_DONE","LOW","PARALLEL_SAFE","P0","exit","0","Broker backfill completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609\runtime\VRN_BrokerBackfill_PythonRuntime_v029VRN1C4.json"
"2026-06-15T13:06:13.278+08:00","Round2","VERIFY","Backfill Result","OK_FILLED","LOW","PARALLEL_SAFE","P0","before/filled/after","33/0/33","Broker backfilled from page-1 letterhead.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609\stage_parquet\VRN_ReportBasicInfo_StageFixed_v029VRN1C4.parquet"
"2026-06-15T13:06:13.280+08:00","Round2","VERIFY","BasicInfo Row Count","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","rows","400","Row count preserved (append-only, no row drop).","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609\stage_parquet\VRN_ReportBasicInfo_StageFixed_v029VRN1C4.parquet"
"2026-06-15T13:06:13.285+08:00","Round3","CLASSIFY","Broker Completeness","WARN_REVIEW_REQUIRED","MEDIUM","SEQUENTIAL_REQUIRED","P1","missing","33","Remaining blanks have no safe page-1 match; stay in review (no guessing).","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609\stage_parquet\VRN_ReportBasicInfo_StageFixed_v029VRN1C4.parquet"
"2026-06-15T13:06:13.319+08:00","Round3","FINAL","VRN 1C.4 Broker Backfill","VRN_1C4_BROKER_BACKFILL_READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","hard_blocks","0","Final broker backfill decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_BROKER_BACKFILL_GATE_v029VRN1C4_20260615_130609"
