"def_priority","def_group_id","def_group_user_accept","def_recommended_group_accept","def_group_reject_reason","def_apply_to_rows","def_owner_engine","def_domain_family","def_group_risk","def_suggested_group_decision","def_selected_group_canonical_value","def_recommended_group_canonical_value","def_suggested_group_canonical_value","def_recommendation_reason","def_group_note","def_sample_keys","def_auto_apply","def_source_mutation","def_canonical_merge"
"P0_GROUP","P0::MARKET_TICKER_IDENTITY::VDF::ACCEPT_GROUP_POLICY_AFTER_REVIEW","","YES","","49","VDF","MARKET_TICKER_IDENTITY","LOW_MEDIUM","SUGGEST_ACCEPT_GROUP_POLICY","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","Ticker identity policy is stable and row-level samples map to ticker/schema terms. Source rewrite still forbidden.","Ticker identity policy can be accepted as group policy. Do not rewrite raw rows.","ticker; parsed_ticker; tickers; yfinance; YFinanceTickerTPEX; YFinanceTickerTWSE; schema_first_12_json; tw_ticker; yfinance_ticker; tw_yfinance_ticker; TW_YFINANCE_REGEX; TW_TICKER_REGEX; RequiredFields; left_ticker; addFields; right_ticker; EXTRA_TICKERS; vrn_merge_yfinance_ticker","false","false","false"
"P0_GROUP","P0::SCHEMA_FIELD_CONTRACT::VRN_VDF::ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","","YES","","46","VRN/VDF","SCHEMA_FIELD_CONTRACT","MEDIUM","SUGGEST_ACCEPT_SCHEMA_OWNER_POLICY","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","Schema ownership policy is needed for VRN/VDF alignment; accept policy layer only, not raw sample values.","Accept schema ownership policy, not every observed field sample.","policy; unit; field; schema; field_id; unit_mn_twd; changed_units; unit_x; target_field; schemas; unit_twd; schema_gate; schema_rows; missing_unit; unit_band_yellow; def_PARAM_HARDGATE_DIR; unit_band_green; unit_review_rows","false","false","false"
"P0_GROUP","P0::DATA_SOURCE_CONTRACT::VDF::ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","","YES","","20","VDF","DATA_SOURCE_CONTRACT","MEDIUM","SUGGEST_ACCEPT_PROVIDER_CONTRACT","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","Provider contract policy can be accepted because FRED key policy is runtime UI secret parameter and raw secret is forbidden.","Accept provider contract only. FRED key stays UI runtime password parameter.","fields; timezone_policy; akshare; alignment_policy; merge_policy_gate; schema_id; recommended_fields; VDF_Global_Commodity_AkShare_Candidate; akshare_import; akshare_version; fred_api_key_sources_checked; fred_id; fred_api_key_value_not_printed; flow_f_fred_akshare_global; Macro; dryrun_policy; primary_source_module; AKSHARE_AVAILABLE","false","false","false"
"P0_GROUP","P0::DATA_SOURCE_CONTRACT::VDF::MASK_SECRET_AND_DEFER","","YES","","9","VDF","DATA_SOURCE_CONTRACT","MEDIUM","SUGGEST_ACCEPT_PROVIDER_CONTRACT","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","Provider contract policy can be accepted because FRED key policy is runtime UI secret parameter and raw secret is forbidden.","Accept provider contract only. FRED key stays UI runtime password parameter.","fred; HardGate; mixing_policy; fred_api_key_exists; fred_keys; schema_audit_csv; fred_akshare_capability_seal; schema_gate_json; schema_map","false","false","false"
"P0_GROUP","P0::GOVERNANCE_POLICY::VIA::ACCEPT_POLICY_OWNER_AFTER_REVIEW","","YES","","8","VIA","GOVERNANCE_POLICY","LOW_MEDIUM","SUGGEST_ACCEPT_GOVERNANCE_REGISTRY","","VIA_GOVERNANCE_POLICY_REGISTRY","VIA_GOVERNANCE_POLICY_REGISTRY","Governance policy should be registry-owned. No source mutation.","Governance policy should be centralized. No direct source rewrite.","calendar_policy; fill_policy; weekend_holiday_policy; policy_id; duplicate_after_collision_policy; dedup_policy_required; coaxis_policy_registry; ConsensusPolicy","false","false","false"
"P0_GROUP","P0::MARKET_TICKER_IDENTITY::VDF::MASK_SECRET_AND_DEFER","","YES","","6","VDF","MARKET_TICKER_IDENTITY","LOW_MEDIUM","SUGGEST_ACCEPT_GROUP_POLICY","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","Ticker identity policy is stable and row-level samples map to ticker/schema terms. Source rewrite still forbidden.","Ticker identity policy can be accepted as group policy. Do not rewrite raw rows.","ticker_regex; ticker_summary_csv; VRN_TickerRegexSSOT; missing_yfinance_csv; yfinance_matrix_csv; source_policy","false","false","false"
"P0_GROUP","P0::SCHEMA_FIELD_CONTRACT::VRN_VDF::MASK_SECRET_AND_DEFER","","YES","","5","VRN/VDF","SCHEMA_FIELD_CONTRACT","MEDIUM","SUGGEST_ACCEPT_SCHEMA_OWNER_POLICY","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","Schema ownership policy is needed for VRN/VDF alignment; accept policy layer only, not raw sample values.","Accept schema ownership policy, not every observed field sample.","schema_csv; unit_review_csv; schema_run; OUT_SCHEMA_CSV; schema_compare_csv","false","false","false"
"P0_GROUP","P0::DATA_SOURCE_CONTRACT::VDF::SECRET_REVIEW_BEFORE_ACCEPT","","YES","","2","VDF","DATA_SOURCE_CONTRACT","MEDIUM","SUGGEST_ACCEPT_PROVIDER_CONTRACT","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","Provider contract policy can be accepted because FRED key policy is runtime UI secret parameter and raw secret is forbidden.","Accept provider contract only. FRED key stays UI runtime password parameter.","FRED_API_KEY; fred_api_key_env","false","false","false"
"P0_GROUP","P0::DOMAIN_GENERAL::VIA_REVIEW_BOARD::REVIEW","","DEFER","","1","VIA_REVIEW_BOARD","DOMAIN_GENERAL","HIGH","REVIEW_OR_DEFER","","","","DOMAIN_GENERAL row such as MACRO_CHINA needs business-domain owner review; do not batch accept.","General domain row needs owner decision; do not batch accept blindly.","MACRO_CHINA","false","false","false"
"P0_GROUP","P0::GOVERNANCE_POLICY::VDF::ACCEPT_POLICY_OWNER_AFTER_REVIEW","","YES","","1","VDF","GOVERNANCE_POLICY","LOW_MEDIUM","SUGGEST_ACCEPT_GOVERNANCE_REGISTRY","","VIA_GOVERNANCE_POLICY_REGISTRY","VIA_GOVERNANCE_POLICY_REGISTRY","Governance policy should be registry-owned. No source mutation.","Governance policy should be centralized. No direct source rewrite.","_vdf_v027841_collision_policy","false","false","false"
