"Path","ParseErrors","ForbiddenCount","Forbidden","ErrorText"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-SupportiveHardGate.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-Guarded-Entry-v217.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-MQ-NoOCR-Staging-v222.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-PURE-NOHANG-v2192.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\toolkits\VIA_TurboOptimizer\VIA_TurboOptimizer_v3.ps1","0","1","Remove-Item",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_FinalConsole\Start-VIA.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V02_GATEWAY_HOTFIX_20260609_035258\gateway\Invoke-VIA-ActivationGateway-Hardened.ps1","1","0","","L5:33 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1","1","0","","L5:33 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V04_INLINE_READY_20260609_035734\gateway\Invoke-VIA-ActivationGateway-InlineReady.ps1","1","0","","L5:33 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_freeze\VIA_UNIFIED_INPUT_SSOT_FREEZE_GATEWAY_20260609_034130\gateway\Invoke-VIA-UnifiedInputGateway.ps1","1","0","","L5:33 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\INPUT\SOURCE_VAP_MODULE\VAP_Launcher.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\INPUT\SOURCE_VAP_MODULE\VIA_VEGN_Step1_v32.ps1","119","1","Remove-Item","L906:148 Missing ')' in method call. | L906:148 Unexpected token 'if' in expression or statement. | L911:88 Missing ')' in method call. | L911:88 Unexpected token 'if' in expression or statement. | L911:129 The string is missing the terminator: "". | L911:128 Missing closing '}' in statement block or type definition. | L911:134 Missing closing ')' in subexpression. | L911:225 Missing ')' in method call. | L911:225 Unexpected token 'if' in expression or statement. | L911:268 The string is missing the terminator: "". | L911:267 Missing closing '}' in statement block or type definition. | L911:273 Missing closing ')' in subexpression. | L911:324 Missing ')' in method call. | L911:324 Unexpected token 'if' in expression or statement. | L911:359 The string is missing the terminator: "". | L911:358 Missing closing '}' in statement block or type definition. | L911:364 Missing closing ')' in subexpression. | L911:637 Missing ')' in method call. | L911:637 Unexpected token 'if' in expression or statement. | L911:668 The string is missing the terminator: "". | L911:667 Missing closing '}' in statement block or type definition. | L911:673 Missing closing ')' in subexpression. | L911:713 Missing ')' in method call. | L911:713 Unexpected token 'if' in expression or statement. | L911:744 The string is missing the terminator: "". | L911:743 Missing closing '}' in statement block or type definition. | L911:749 Missing closing ')' in subexpression. | L911:866 The string is missing the terminator: "". | L911:865 Missing closing '}' in statement block or type definition. | L911:890 Missing closing ')' in expression. | L911:890 Missing ')' in method call. | L911:890 Missing closing ')' in subexpression. | L911:965 Missing ')' in method call. | L911:965 Unexpected token 'if' in expression or statement. | L911:1012 The string is missing the terminator: "". | L911:1011 Missing closing '}' in statement block or type definition. | L911:1017 Missing closing ')' in subexpression. | L911:1086 Missing ')' in method call. | L911:1086 Unexpected token 'if' in expression or statement. | L911:1258 The string is missing the terminator: "". | L911:1257 Missing closing '}' in statement block or type definition. | L911:1279 Missing closing ')' in expression. | L911:1279 Missing ')' in method call. | L911:1279 Missing closing ')' in subexpression. | L915:60 Missing ')' in method call. | L915:60 Unexpected token 'if' in expression or statement. | L915:95 The string is missing the terminator: "". | L915:94 Missing closing '}' in statement block or type definition. | L915:100 Missing closing ')' in subexpression. | L915:179 Missing ')' in method call. | L915:179 Unexpected token 'if' in expression or statement. | L915:214 The string is missing the terminator: "". | L915:213 Missing closing '}' in statement block or type definition. | L915:219 Missing closing ')' in subexpression. | L915:267 Missing ')' in method call. | L915:267 Unexpected token 'if' in expression or statement. | L915:314 The string is missing the terminator: "". | L915:313 Missing closing '}' in statement block or type definition. | L915:319 Missing closing ')' in subexpression. | L926:60 Missing ')' in method call. | L926:60 Unexpected token 'if' in expression or statement. | L931:60 Missing ')' in method call. | L931:60 Unexpected token 'if' in expression or statement. | L931:95 The string is missing the terminator: "". | L931:94 Missing closing '}' in statement block or type definition. | L931:100 Missing closing ')' in subexpression. | L931:179 Missing ')' in method call. | L931:179 Unexpected token 'if' in expression or statement. | L931:214 The string is missing the terminator: "". | L931:213 Missing closing '}' in statement block or type definition. | L931:219 Missing closing ')' in subexpression. | L931:429 Missing ')' in method call. | L931:429 Unexpected token 'if' in expression or statement. | L931:476 The string is missing the terminator: "". | L931:475 Missing closing '}' in statement block or type definition. | L931:481 Missing closing ')' in subexpression. | L931:550 Missing ')' in method call. | L931:550 Unexpected token 'if' in expression or statement. | L931:589 The string is missing the terminator: "". | L931:588 Missing closing '}' in statement block or type definition. | L931:594 Missing closing ')' in subexpression. | L931:686 Missing ')' in method call. | L931:686 Unexpected token 'if' in expression or statement. | L931:725 The string is missing the terminator: "". | L931:724 Missing closing '}' in statement block or type definition. | L931:730 Missing closing ')' in subexpression. | L935:60 Missing ')' in method call. | L935:60 Unexpected token 'if' in expression or statement. | L935:103 The string is missing the terminator: "". | L935:102 Missing closing '}' in statement block or type definition. | L935:108 Missing closing ')' in subexpression. | L935:180 Missing ')' in method call. | L935:180 Unexpected token 'if' in expression or statement. | L935:219 The string is missing the terminator: "". | L935:218 Missing closing '}' in statement block or type definition. | L935:224 Missing closing ')' in subexpression. | L935:316 Missing ')' in method call. | L935:316 Unexpected token 'if' in expression or statement. | L935:355 The string is missing the terminator: "". | L935:354 Missing closing '}' in statement block or type definition. | L935:360 Missing closing ')' in subexpression. | L935:461 Missing ')' in method call. | L935:461 Unexpected token 'if' in expression or statement. | L935:500 The string is missing the terminator: "". | L935:499 Missing closing '}' in statement block or type definition. | L935:505 Missing closing ')' in subexpression. | L942:60 Missing ')' in method call. | L942:60 Unexpected token 'if' in expression or statement. | L942:216 Missing ')' in method call. | L942:216 Unexpected token 'if' in expression or statement. | L947:60 Missing ')' in method call. | L947:60 Unexpected token 'if' in expression or statement. | L947:150 Missing ')' in method call. | L947:150 Unexpected token 'if' in expression or statement. | L952:56 Missing ')' in method call. | L952:56 Unexpected token 'if' in expression or statement. | L869:24 Missing closing '}' in statement block or type definition. | L952:93 Unexpected token ')' in expression or statement. | L1259:1 Unexpected token '}' in expression or statement."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge_patch\RUN_20260610_201459\_bridge\Invoke-NexusCore-ExternalBridge.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge_patch\RUN_20260610_201618\_bridge\Invoke-NexusCore-ExternalBridge.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_hydra_three_rounds\RUN_20260610_202238\_adapters\Invoke-NexusCore-BridgeStatusNormalizer.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_hydra_three_rounds\RUN_20260610_202238\_adapters\Invoke-NexusCore-CeleritasSafeAdapter.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\backup\_temp_Invoke_VIA_ALL_replaced_20260611_115158.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_ONECLICK_v02853_20260611_110956\plan\Invoke-VIA-NexusCore-EnvBootstrap-GUARDED-NOT-RUN-v02853.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\backup\Original_Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\Invoke-VIA-ToolBundle-Install-GUARDED-NOT-RUN-v02851.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\repair\Invoke-VDF-AkShare-StagingWrite-REPAIRED-NOT-RUN-v02851.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VAP_Launcher.ps1","0","0","",""
