"def_order","def_scope","def_current_state","def_action_type","def_independent_flow","def_next_action","def_hydra_guard"
"P0-01","VIA Final Parameters v0102","Parameters=77201; Canonical=34696; P0=835; CanonicalReview=3084","REVIEW_FIRST","FLOW02 + FLOW03","先鎖 DATA_SOURCE / MARKET_UNIVERSE / MACRO_SENTIMENT / SCHEMA_FIELD / ENGINE / GOVERNANCE_POLICY 的 SSOT；不要先大修 UI 或重跑全部","No direct repair; no child execution; output-only"
"P0-02","Supportive Modules","SafePolyglotOptimizer + AIO + README + StaticValidation staged","BRIDGE_SUPPORTIVE","FLOW01 → FLOW03 → FLOW04","建立 SupportiveToolRegistry，標示每個工具的用途、可否 child-run、timeout、輸出資料夾","工具只複製到 run folder；來源檔不改"
"P0-03","Functional Modules","UnifiedSpec / GovernanceRegistry / LayoutRegistry / VisualRegistry / Invoke-VeritasCodexNexus","FUNCTIONAL_SPEC_LOCK","FLOW02","UnifiedSpec 作總規格；Governance/Layout/Visual 分別成三個子 registry；CodexNexus 只做 bridge，不直接重寫","Spec lock before code generation"
"P1-01","VDF","資料來源、YFinance、AKShare、SentimentStrength 已開始導入","DATA_ENGINE_CONSOLIDATION","FLOW01~FLOW05","把 yfinance / akshare / FRED / AAII / CNN Fear & Greed 全放進 VDF DataSourceRegistry，標示可抓、替代源、不可抓","資料引擎分開測；不與 UI 同輪修"
"P1-02","VRN","PDF 報告擷取、券商 alias、財務 SSOT、表格重建規則多版本並存","REPORT_ENGINE_ROUTING","FLOW01~FLOW04","VRN 只接收 VDF 的 ticker/date/company SSOT，不反向覆寫 VDF","Route-only bridge; no canonical overwrite"
"P1-03","VIS / Visual Lock","VisualRegistry + LayoutRegistry + 丹青水墨 UI lock","UI_DENSE_MODE","FLOW05","統一小字體、nowrap table、equal-height cards、dense matrix、tab 一頁式報告","UI only; 不碰 data engine"
"P1-04","VEF / EngineForge","v062 NullSafeStepSafe > v061 BoolParamHotfix > v060 methodology fallback","ENGINE_FORGE_STACK","FLOW03","v062 作主引擎；v061 只補 bool param；v060 只保留方法論與 registry stub","Only one active engineforge pointer"
"P2-01","VPF / Signal & Rotation","族群輪動、個股訊號已有獨立 engine","DOWNSTREAM_CONSUMER","FLOW03 + FLOW05","VPF 只消費 VDF/VRN clean outputs；不參與資料抓取 SSOT","Consumer only"
"P2-02","VHS / Test Harness","UI harness / e2e / visual extraction","USER_TEST_LAYER","FLOW04","作為 UI user-test 與 HTML regression test；不要改資料引擎","Test-only"
"P2-03","VPL / VeritasPulse","專案管理 UI 與 task ledger","PROJECT_PLANNING_LAYER","FLOW05","接 integration plan，輸出任務與里程碑；不寫回 canonical registry","Planning only"
