"Rank","Name","Lang","Install","Stage","UseCase","LocalFreeNote","RiskNote"
"1","Docling","Python","python -m pip install docling","Document conversion/layout","Convert PDF/DOCX/PPTX/images into structured document objects","Open-source local toolkit; heavy models possible","Install in sandbox env first"
"2","PaddleOCR / PP-Structure","Python","python -m pip install paddleocr","OCR/layout/table/KIE","OCR and structured document parsing for scanned forms","Apache-style open toolkit; model downloads","Heavy; avoid global install"
"3","OCRmyPDF","CLI/Python","python -m pip install ocrmypdf","OCR PDF layer","Make scanned PDFs searchable before table/text extraction","Open-source; local","Needs Tesseract/Ghostscript"
"4","Tesseract + pytesseract","CLI/Python","winget install UB-Mannheim.TesseractOCR ; python -m pip install pytesseract","OCR","Traditional OCR fallback for forms","Free local OCR","Accuracy depends on preprocessing"
"5","pdfplumber","Python","python -m pip install pdfplumber","Digital PDF extraction","Extract text/tables/coordinates from digital PDFs","Open-source local","Weak on scans"
"6","PyMuPDF","Python","python -m pip install pymupdf","PDF render/text/images","Fast page rendering and extraction","Open-source local","License review for distribution"
"7","Camelot","Python","python -m pip install camelot-py","PDF tables","Lattice/stream table extraction","Open-source local","Needs Ghostscript for some use cases"
"8","tabula-py","Python/Java","python -m pip install tabula-py","PDF tables","Java Tabula table extraction bridge","Open-source local","Needs Java"
"9","OpenCV","Python/C++","python -m pip install opencv-python","Image preprocessing","Deskew, threshold, boxes, morphology","Open-source local","Can be memory-heavy"
"10","LayoutParser","Python","python -m pip install layoutparser","Layout detection","Layout zones for forms/pages","Open-source local","Model deps vary"
"11","Unstructured","Python","python -m pip install unstructured","Document partitioning","Partition diverse enterprise docs into semantic elements","Open-source local components","Heavy extras if enabled"
"12","Microsoft MarkItDown","Python","python -m pip install markitdown","Markdown conversion","Convert Office/PDF/media formats to Markdown for downstream parsing","Open-source local utility","Quality varies by format"
"13","Apache Tika","Java/Python","python -m pip install tika","Document metadata/text","Fallback broad document parsing","Open-source local/server","Java dependency"
"14","pandas","Python","python -m pip install pandas","Event log shaping","Normalize extracted records into case/activity/timestamp logs","Open-source local","Memory use for large logs"
"15","polars","Python/Rust","python -m pip install polars","Fast ETL","Low-memory event-log transformation","Open-source local","Some pandas ecosystem gaps"
"16","DuckDB","Python/CLI","python -m pip install duckdb","Local analytics","SQL over parquet/csv event logs","Open-source local","Avoid accidental DB writes outside sandbox"
"17","PyArrow","Python/C++","python -m pip install pyarrow","Parquet/Arrow","Columnar outputs for event logs","Open-source local","Version compatibility"
"18","PM4Py","Python","python -m pip install pm4py","Process mining","Discovery, conformance, event-log analytics","Open-source local","Needs clean event log schema"
"19","NetworkX","Python","python -m pip install networkx","Graph analytics","DFG/process graph analysis and routing","Open-source local","Large graphs slower than igraph"
"20","Pandera / Great Expectations","Python","python -m pip install pandera great_expectations","Data validation","Validate extracted form-to-event schema before mining","Open-source local","GE is heavier"
