"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","WRITE_STAGE_DESIGN_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","WRITE_STAGE_DESIGN_ONLY","db_write_enabled","false","No DATABASE write in v028.1.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","WRITE_STAGE_DESIGN_ONLY","canonical_merge_enabled","false","No canonical merge in v028.1.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402"
"Round0","POLICY","USER_APPROVAL_REQUIRED","Write Stage","OK_POLICY_LOCKED","LOW","SEQUENTIAL_REQUIRED","P0","WRITE_STAGE_DESIGN_ONLY","actual_write_allowed","false","Actual write requires separate explicit approval after this design gate.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402"
"Round1","DISCOVERY","FREEZE_SEAL","v028.0 Freeze Seal","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_STAGE_DESIGN_ONLY","source","freeze_seal","Locked v028.0 freeze seal.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\VDF_AkShare_v0280_FreezeSeal.json"
"Round1","DISCOVERY","READINESS_FINAL","Frozen Readiness Final CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_STAGE_DESIGN_ONLY","source","readiness_final","Locked frozen readiness final rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\artifacts\VDF_AkShare_v0279_ReadinessFinalRows.csv"
"Round1","DISCOVERY","DUPLICATE_QUARANTINE","Frozen Duplicate Quarantine CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_STAGE_DESIGN_ONLY","source","duplicate_quarantine","Locked duplicate quarantine rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\artifacts\VDF_AkShare_v0279_DuplicateQuarantineRows.csv"
"Round2","WRITE_STAGE_DESIGN","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","WRITE_STAGE_DESIGN_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T02:14:03.208391"", ""status"": ""VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_READY"", ""risk"": ""MEDIUM"", ""recommendation"": ""ALLOW_V0282_WRITE_DRYRUN_COMPARE_ONLY_NO_DB_WRITE"", ""metrics"": {""candidate_write_rows"": 121, ""duplicate_quarantine_rows"": 29, ""duplicate_after_check"": 0, ""still_invalid_rows"": 0, ""empty_key_rows"": 0, ""empty_value_rows"": 0}, ""artifacts"": {""write_design_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\\plan\\VDF_AkShare_v0281_WriteStageDesign.json"", ""dryrun_compare_plan_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\\plan\\VDF_AkShare_v0281_DryRunComparePlan.json"", ""rollback_plan_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\\plan\\VDF_AkShare_v0281_RollbackPlan.json"", ""approval_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\\plan\\VDF_AkShare_v0281_UserApprovalGate.json"", ""prewrite_checklist_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\\registry\\VDF_AkShare_v0281_PreWriteChecklist.csv""}, ""next_step"": ""v028.2 write dry-run compare only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\runtime\vdf_akshare_user_approval_gate_write_stage_design_v0281.py"
"Round2","WRITE_STAGE_DESIGN","CANDIDATE_ROWS","Candidate Write Rows","OK_READY_SOURCE","LOW","SEQUENTIAL_GATED","P0","WRITE_STAGE_DESIGN_ONLY","candidate_write_rows","121","Candidate write rows verified for design only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\artifacts\VDF_AkShare_v0279_ReadinessFinalRows.csv"
"Round2","WRITE_STAGE_DESIGN","PREWRITE_CHECK","Pre-write Checklist","OK_DESIGN_READY","LOW","SEQUENTIAL_GATED","P0","WRITE_STAGE_DESIGN_ONLY","defects","0","Write-stage design gate passed; still no DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\registry\VDF_AkShare_v0281_PreWriteChecklist.csv"
