#,大項目,小項目,標的/代碼,主要來源,頻率,多來源並存,證據層,用途,QA
1,A · 全球指數流 (Index FIS),美股大盤,S&P500 ^GSPC/SPY · 道瓊 ^DJI/DIA · 那斯達克100 ^NDX/QQQ · 羅素2000 ^RUT/IWM,ICI 週度 + ETF 創贖,日,Y(ICI+創贖),T1,指數 FIS 方向/強度,CANON
2,A · 全球指數流 (Index FIS),台股大盤,加權 ^TWII/0050 · 櫃買 ^TWOII/006201,TWSE T86 + 創贖,日,Y,T1/T4,指數 FIS,CANON
3,A · 全球指數流 (Index FIS),亞洲,日經 ^N225/EWJ · 韓 ^KS11/EWY · 港 ^HSI/2800.HK · 中 000300/MCHI/ASHR · 印 ^NSEI/INDA,EPFR/北向AKShare/NSDL/日銀,日,Y,T1/T4,指數 FIS,CANON
4,A · 全球指數流 (Index FIS),歐洲,DAX ^GDAXI/EWG · FTSE ^FTSE/EWU · STOXX50 ^STOXX50E/VGK,EPFR,日,Y,T1,指數 FIS,CANON
5,A · 全球指數流 (Index FIS),新興市場,MSCI EM EEM/VWO/IEMG,EPFR/IIF,日,Y,T1,指數 FIS,CANON
6,B · ETF FIS 宇宙 (依風險層 ~70檔),T0 防禦/低波,SHV·BIL·AGG·BND·TLT · USMV·SPLV · GLD,創贖/issuer AUM,日,Y,T1,risk_tier FIS,CANON
7,B · ETF FIS 宇宙 (依風險層 ~70檔),T1 核心市值,SPY·VOO·IVV·VTI·QQQ·DIA·IWM,創贖/AUM,日,Y,T1,市場β FIS,CANON
8,B · ETF FIS 宇宙 (依風險層 ~70檔),T2 產業/主題,XLK·SMH·XLE… · BOTZ·ARKK·ICLN·LIT,創贖,日,Y,T1,主題β FIS,CANON
9,B · ETF FIS 宇宙 (依風險層 ~70檔),T2 區域/國別,EWT·EWJ·EWY·MCHI·INDA·EEM,創贖,日,Y,T1,區域β FIS,CANON
10,B · ETF FIS 宇宙 (依風險層 ~70檔),T4 槓桿/反向,TQQQ·SQQQ·SOXL·SOXS·UPRO·SPXU·UVXY,創贖,日,Y,T4,高波動(部位),CANON
11,C · 台股族群 & 個股流 (核心),族群分類,31 群(v1.0×24 + v1.1×7)L/P/G,File1 族群分類 SSOT,—,Y(只增不減errata),SSOT,grouping 骨架,CANON
12,C · 台股族群 & 個股流 (核心),個股角色,百餘檔 Leader/Peer/Laggard(hot/lead/chg),File1 + VDF 計算,日,Y,T1/T4 待VDF,個股下鑽層,CANON
13,C · 台股族群 & 個股流 (核心),法人買賣超($),三大法人,TWSE T86,日 EOD,Y,T1,族群流方向(當沖免疫),CANON
14,C · 台股族群 & 個股流 (核心),Δ融資餘額,逐檔融資,TWSE MI_MARGN,日 EOD,Y,T1,族群流(當沖免疫),CANON
15,C · 台股族群 & 個股流 (核心),個股→族群上捲,Σ主動ETF持股增減 × File1,主動ETF PCF + grouping,日,Y,T1,主動資金族群流(真值),CANON
