"def_priority","def_gate","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_recommended_decision","def_hydra_risk","def_source_mutation","def_sample_values","def_sample_files"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","ticker","459","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""All TW_TICKER"" || ""TW_Index_Ticker"" || ""ProviderTicker"" || ""CN_HK_Ticker"" || ""MacroIndicatorCode"" || ticker, ""term"": term, ""utc"": _utc()","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_DataTransformEngine (1).py; VIA_DataTransformEngine (2).py; VDF_TW_EquityUniverse.json; VDF_TW_MonthlyRevenue.json; VDF_TW_PriceDaily.json; VDF_TW_TradingStats.json; vdf_mops_monthly_revenue_seed_v022.py"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","policy","128","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","policy = $def_PARAM_POLICY || policy = [ordered]@{type=""object""} || { || ""Fed"" || ""ECB"" || ""PBOC/LPR/RRR""","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; params.example (1).json; params.example (2).json; SSOT_VIA_VisualDesignOps_20260617 (1).json; SSOT_VIA_VisualDesignOps_20260617.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit","83","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""days"" || ""exact"" || ""opinion_preserved"" || ""指數"" || ""美元"" || ""美元/桶""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_data_manifest (1).json; VIA_data_manifest (2).json; VIA_data_manifest.json; VRN_IO_Summary_v0100 (1).json; VRN_IO_Summary_v0100 (2).html; VRN_IO_Summary_v0100.html; VRN_IO_Summary_v0100.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","field","48","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""Adj Open"" || ""Adj Low"" || ""Adj High"" || c || ""report_date"" || ""broker""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; vdf_akshare_execution_readiness_review_v0279.py; vrn_parquet_unified_stage_repair.py; vrn_staging_identity_repair_rekey_hotfix.py; vrn_staging_identity_repair_rekey.py; VRN_BasicInfoDefinitionSSOT_v029SSOT1B.json; VRN_MDL018_VRN_MDL_SummaryPipelineBridge_AIO_v01__CORE__v01.py; VRN_MDL223_VRN_HeaderOrder_ConsensusData_AnchorPreview__MODULE__v0_0.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","parsed_ticker","37","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""6415"" || """" || ""2383"" || ""3675"" || ""4771"" || ""3665""","VRN_MDL050_VRN_v141E2_FalseRedCrush_D8_SourceGate__MODULE__v141E2.json; VRN_MDL051_VRN_ProjectState_SSOT_v141E2__SUPPORT_RULE__v141E2.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema","36","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""VPNS_NORMALIZED_EXTRACTION_BLOCK"" || ""VIA.CodexNexus.GovernanceRegistry"" || schema    = 'VIA.CodexNexus.RunLog' || schema = ""VIA.EngineForge.Config"" || schema = ""VIA.Engine.Manifest"" || schema = ""VIA.Engine.RuntimeConfig""","engine (1).py; engine (2).py; engine.py; GovernanceRegistry.json; Invoke-VeritasCodexNexus.ps1; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","field_id","36","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""BAS_01"" || ""BAS_02"" || ""BAS_03"" || ""BAS_04"" || ""BAS_05"" || ""BAS_06""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VRN_IO_Summary_v0100 (1).json; VRN_IO_Summary_v0100 (2).html; VRN_IO_Summary_v0100.html; VRN_IO_Summary_v0100.json; VRN_S05_FieldRegistry_v0101.json; VRN_S05_FieldRegistry_v0102.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","fields","24","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","[""source_id"", ""source_type"", ""block_id"", ""extracted_text"" || [ || fields=sorted(set(str(k) for row in rows for k in row.keys() if k is not None)) || fields=[str(s) for s in (schema_fields or [""_empty""])] || fields = sorted(set(k for r in rows for k in r.keys())) || fields = text_fields","engine (1).py; engine (2).py; engine.py; SSOT_VPNS (1).json; SSOT_VPNS.json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VRN_IO_Summary_v0100 (1).json; VRN_IO_Summary_v0100 (2).html"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","tickers","23","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","[""NVDA"", ""AAPL"", ""MSFT""] || [""GOOGL"", ""AAPL""] || [""WMT"", ""NVDA"", ""AMZN""] || [""UNH"", ""CVS"", ""MCK"", ""COR""] || [""SNDK"", ""WDC"", ""MU"", ""STX""] || [""PLTR"", ""APP"", ""CRWD""]","app.js; vap_v8_master_orchestrator.py; vap_warehouse_v6_all_builder.py; vap_warehouse_v7_quant_builder.py; VRN_MDL197_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json; VRN_MDL198_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json; VRN_MDL199_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json; VRN_MDL200_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","yfinance","21","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","{ || ""無需金鑰"" || {""enabled"": True,  ""auto_adjust"": False, ""timeout_sec"": 30, ""retries"": 3} || False || true || 0","params.example (1).json; params.example (2).json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_data_manifest (1).json; VIA_data_manifest (2).json; VIA_data_manifest.json; via_param_manager (1).py; vdf_production_fetch_controller_v016.py"
