"FunctionArea","Language","Top10LocalFreeLibs","UseCase"
"PowerShell Orchestration","PowerShell","Pester; PSScriptAnalyzer; ThreadJob; ImportExcel; Pode; PSWriteHTML; BurntToast; PSFramework; Polaris; PSReadLine","test/debug/report/parallel job/UI/logging"
"Python Core Runtime","Python","pathlib; json; argparse; logging; concurrent.futures; subprocess; hashlib; sqlite3; venv; importlib","core adapter, CLI, hashing, local registry, venv"
"Python Data Registry","Python","pandas; polars; pyarrow; duckdb; sqlite-utils; pydantic; orjson; jsonschema; rich; tqdm","SSOT registry, parquet/csv/json, validation"
"Python Network Guard","Python","requests; httpx; urllib3; certifi; truststore; dnspython; tenacity; backoff; aiohttp; yarl","Aegis network probe, retry, TLS, DNS, timeout"
"Python Acceleration","Python","pip; pip-tools; pipdeptree; wheel; build; packaging; platformdirs; filelock; joblib; diskcache","Celeritas cache, wheelhouse, dependency plan"
"Python AST / Static Analysis","Python","ast; asttokens; libcst; parso; rope; pyflakes; pycodestyle; pylint; radon; vulture","safe code probe, adapter generation, unused risk detection"
"Python Testing","Python","pytest; unittest; hypothesis; coverage; tox; nox; pytest-xdist; pytest-timeout; freezegun; responses","test/debug/upgrade/consolidate"
"HTML UI Report","HTML/CSS/JS","DataTables; Tabulator; Grid.js; Alpine.js; HTMX; Chart.js; ECharts; Mermaid; Bootstrap Icons; Font Awesome Free","matrix UI, drilldown, progress, charts"
"Node / Local UI","JavaScript","node; npm; pnpm; vite; esbuild; typescript; eslint; prettier; playwright; electron","local dashboard, UI test, package validation"
"Windows Local Ops","Windows/CLI","robocopy; winget; curl; tar; schtasks; where; certutil; netsh; ipconfig; choco","local file ops, scheduled task, network diagnostics"
"PDF / OCR Support","Python/CV","pymupdf; pdfplumber; pypdf; camelot; tabula-py; opencv-python; pillow; pytesseract; layoutparser; scikit-image","VRN report extraction support"
"Financial Data","Python","yfinance; akshare; pandas-datareader; fredapi; requests-cache; duckdb; pyarrow; exchange-calendars; pandas-market-calendars; quantstats","VDF / market data / local cache"
