"OutputDatabase","TableId","ExtractionSubject","ExtractionScope","Headers","Source","Frequency","Required","Validation","SupportiveTools","OutputRoot"
"VDF_TW_EquityUniverse.parquet / VDF_TW_EquityUniverse.duckdb / VDF_TW_EquityUniverse.csv / VDF_TW_EquityUniverse.json","VDF_TW_EquityUniverse","台股股票 Universe","上市、上櫃、興櫃、ETF、受益證券；建立 VDF / VRN / VIA 共用 ticker master。","ticker,name,market,industry,isin,security_type,listed_date,status","TWSE,TPEX","DAILY","ticker,name,market","ticker_regex; name_not_null; market_in_TWSE_TPEX","Aegis: ticker/schema hard-gate; Celeritas: universe fetch/cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_CompanyProfile.parquet / VDF_TW_CompanyProfile.duckdb / VDF_TW_CompanyProfile.csv / VDF_TW_CompanyProfile.json","VDF_TW_CompanyProfile","公司基本資料","公司名稱、產業別、董總、發言人、地址、電話、網站；提供基本資料與報告交叉驗證。","ticker,name,chairman,general_manager,spokesperson,address,phone,website,industry","TWSE,TPEX,MOPS","MONTHLY","ticker,name","ticker_regex; company_name_not_null","Aegis: profile schema guard; Celeritas: batch IO acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_PriceDaily.parquet / VDF_TW_PriceDaily.duckdb / VDF_TW_PriceDaily.csv / VDF_TW_PriceDaily.json","VDF_TW_PriceDaily","每日股價與成交資料","OHLCV、調整收盤價、成交金額、短中期報酬率。","ticker,date,open,high,low,close,adj_close,volume,turnover,return_1d,return_5d,return_20d,return_60d","TWSE,TPEX,YFINANCE","DAILY","ticker,date,close,volume","date_iso; ohlc_numeric; high_ge_low; close_not_null","Aegis: abnormal price guard; Celeritas: parallel fetch/cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_TradingStats.parquet / VDF_TW_TradingStats.duckdb / VDF_TW_TradingStats.csv / VDF_TW_TradingStats.json","VDF_TW_TradingStats","交易統計與估值","市值、週轉率、本益比、股價淨值比、殖利率。","ticker,date,market_cap,turnover_rate,pe,pb,dividend_yield","TWSE,TPEX","DAILY","ticker,date","date_iso; numeric_fields_nullable","Aegis: valuation sanity check; Celeritas: daily merge acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_MonthlyRevenue.parquet / VDF_TW_MonthlyRevenue.duckdb / VDF_TW_MonthlyRevenue.csv / VDF_TW_MonthlyRevenue.json","VDF_TW_MonthlyRevenue","月營收","單月營收、月增率、年增率、累計營收、累計年增率。","ticker,yyyymm,revenue,mom,yoy,cum_revenue,cum_yoy","MOPS","MONTHLY","ticker,yyyymm,revenue","yyyymm_regex; revenue_numeric","Aegis: period validation; Celeritas: incremental update","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_FinancialStatement.parquet / VDF_TW_FinancialStatement.duckdb / VDF_TW_FinancialStatement.csv / VDF_TW_FinancialStatement.json","VDF_TW_FinancialStatement","財務報表","損益表、資產負債表、現金流量表核心欄位。","ticker,period,revenue,gross_profit,op_income,net_income,eps,total_assets,total_liabilities,equity,cash_flow_ops","MOPS","QUARTERLY","ticker,period","period_regex; numeric_fields_nullable; eps_numeric","Aegis: accounting rule guard; Celeritas: table transform acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_FinancialRatio.parquet / VDF_TW_FinancialRatio.duckdb / VDF_TW_FinancialRatio.csv / VDF_TW_FinancialRatio.json","VDF_TW_FinancialRatio","財務比率","獲利率、ROE、ROA、負債比、流動比率；由財報資料計算或來源補值。","ticker,period,gross_margin,op_margin,net_margin,roe,roa,debt_ratio,current_ratio","MOPS,VDF_TW_FinancialStatement","QUARTERLY","ticker,period","ratio_numeric_nullable; denominator_not_zero","Aegis: denominator guard; Celeritas: calculation acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_FlowChip.parquet / VDF_TW_FlowChip.duckdb / VDF_TW_FlowChip.csv / VDF_TW_FlowChip.json","VDF_TW_FlowChip","三大法人與籌碼","外資、投信、自營商、融資、融券、借券。","ticker,date,foreign_buy_sell,trust_buy_sell,dealer_buy_sell,margin_balance,short_balance,securities_lending","TWSE,TPEX","DAILY","ticker,date","date_iso; numeric_fields","Aegis: flow anomaly guard; Celeritas: multi-source merge acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_MarginShort.parquet / VDF_TW_MarginShort.duckdb / VDF_TW_MarginShort.csv / VDF_TW_MarginShort.json","VDF_TW_MarginShort","信用交易","融資買進、賣出、餘額；融券買進、賣出、餘額；資券比。","ticker,date,margin_buy,margin_sell,margin_balance,short_buy,short_sell,short_balance,margin_short_ratio","TWSE,TPEX","DAILY","ticker,date","date_iso; non_negative_balance; ratio_numeric_nullable","Aegis: balance consistency guard; Celeritas: daily cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_DividendAction.parquet / VDF_TW_DividendAction.duckdb / VDF_TW_DividendAction.csv / VDF_TW_DividendAction.json","VDF_TW_DividendAction","股利與公司行動","現金股利、股票股利、除息日、殖利率、配息率、基準日、發放日。","ticker,ex_date,cash_dividend,stock_dividend,yield,payout_ratio,record_date,payment_date","TWSE,TPEX,MOPS","EVENT","ticker,ex_date","date_iso; dividend_numeric","Aegis: event consistency guard; Celeritas: event indexing","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
